gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
5,3.04,-0.14,666307375.005
10,1.98,-0.11,666307375.048
15,4.14,0.23,666307375.199
20,2.56,0.03,666307375.163
25,2.83,0.17,666307375.231
30,2.24,-0.14,666307375.057
35,2.73,0.13,666307375.218
40,2.57,0.00,666307375.207
45,2.75,0.21,666307375.258
50,2.85,0.01,666307375.108
55,79.20,74.06,666307375.307
60,86.12,82.61,666307375.073
65,85.27,82.11,666307375.312
70,74.58,72.21,666307375.534
75,77.31,75.25,666307375.449
80,72.28,69.66,666307375.584
85,67.35,64.74,666307375.637
90,62.27,60.02,666307375.71
95,57.48,55.23,666307375.826
100,48.91,45.84,666307375.841
105,47.56,44.68,666307375.976
110,42.29,39.79,666307375.978
115,37.76,35.00,666307376.059
120,32.41,30.48,666307376.095
125,27.23,23.57,666307376.094
130,22.39,20.10,666307376.288
135,17.51,15.38,666307376.246
140,12.24,9.30,666307376.328
145,6.99,4.53,666307376.473
150,3.51,0.37,666307376.488
155,2.39,0.08,666307376.567
160,2.62,-0.09,666307376.566
165,2.66,0.05,666307376.766
170,2.72,0.01,666307376.811
175,3.10,0.15,666307376.799
180,2.98,0.10,666307376.99
185,4.04,0.26,666307377.024
190,2.81,-0.05,666307377.057
195,2.31,-0.00,666307377.167
200,22.84,19.80,666307377.183
205,94.08,90.72,666307377.317
