gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
1,2.39,-0.11,196784522.825
5,2.51,-0.18,196784522.723
9,2.73,-0.02,196784522.876
13,2.16,-0.01,196784522.836
17,5.02,0.22,196784522.955
21,2.64,0.19,196784522.986
25,2.71,0.12,196784523.006
29,2.94,0.06,196784522.977
33,2.60,0.21,196784523.023
37,2.55,0.01,196784523.037
41,2.79,0.09,196784523.042
45,3.00,0.45,196784523.088
49,2.02,0.02,196784523.088
53,2.53,0.22,196784523.072
57,2.95,0.29,196784523.109
61,2.14,0.09,196784523.136
65,2.97,0.23,196784523.217
69,2.94,0.10,196784523.12
73,2.68,-0.12,196784523.129
77,2.50,-0.09,196784523.155
81,2.82,0.51,196784523.371
85,2.71,0.17,196784523.293
89,3.34,0.28,196784523.403
93,2.73,0.34,196784523.408
97,2.33,-0.02,196784523.443
101,3.22,-0.03,196784523.504
105,2.69,0.01,196784523.51
109,2.61,-0.02,196784523.644
113,2.57,0.03,196784523.619
117,3.03,0.21,196784523.725
121,2.78,-0.03,196784523.772
125,3.22,0.58,196784523.81
129,3.55,0.10,196784523.88
133,2.98,0.26,196784523.998
137,2.89,-0.03,196784523.899
141,3.12,0.34,196784524.11
145,2.72,0.09,196784524.18
149,2.74,-0.15,196784524.062
153,2.59,0.03,196784524.319
157,3.74,-0.03,196784524.311
161,3.31,-0.06,196784524.348
165,3.32,0.08,196784524.451
169,2.82,-0.04,196784524.524
173,3.78,0.01,196784524.647
177,2.70,-0.08,196784524.626
181,3.00,0.07,196784524.798
185,2.78,-0.00,196784524.878
189,3.69,0.20,196784524.97
193,4.75,-0.05,196784524.973
197,2.92,0.22,196784525.083
201,3.53,0.63,196784525.172
205,3.03,-0.21,196784525.107
209,2.97,0.01,196784525.405
213,2.88,-0.02,196784525.493
217,2.18,-0.18,196784525.418
221,2.69,0.02,196784525.699
225,2.94,0.02,196784525.774
229,2.83,-0.05,196784525.824
233,3.37,-0.03,196784525.961
237,3.31,-0.04,196784526.018
