gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
1,1.73,0.09,200001381.029
5,2.68,0.02,200001381.016
9,3.09,0.03,200001381.024
13,1.91,0.26,200001381.033
17,4.92,0.88,200001380.872
21,1.95,0.00,200001381.01
25,2.23,0.02,200001381.057
29,2.09,-0.07,200001381.0
33,3.04,0.24,200001381.102
37,2.20,0.27,200001381.121
41,1.89,0.01,200001381.123
45,2.46,0.16,200001381.161
49,2.08,0.20,200001381.145
53,868.46,866.35,200001381.201
57,864.47,862.33,200001381.53
61,860.37,858.17,200001381.852
65,764.43,761.83,200001382.242
69,852.25,849.26,200001382.564
73,848.57,846.56,200001382.882
77,844.19,842.24,200001383.254
81,840.29,838.13,200001383.544
85,836.40,834.16,200001383.906
89,740.17,738.10,200001384.293
93,828.47,826.20,200001384.581
97,824.64,821.87,200001384.858
101,820.12,817.05,200001385.196
105,816.40,814.40,200001385.637
109,812.44,810.49,200001385.995
113,717.12,715.19,200001386.366
117,804.40,801.75,200001386.561
121,800.36,797.66,200001387.014
125,796.48,794.43,200001387.315
129,793.11,790.15,200001387.713
133,788.14,786.01,200001388.004
137,784.18,782.04,200001388.398
141,780.41,778.12,200001388.755
145,776.44,774.33,200001389.037
149,772.42,770.28,200001389.44
153,768.46,766.43,200001389.73
157,763.03,760.84,200001390.141
161,760.60,758.17,200001390.42
165,756.17,753.98,200001390.847
169,752.22,749.64,200001391.082
173,748.24,745.26,200001391.48
177,744.38,742.35,200001391.802
181,740.35,738.28,200001392.159
185,736.41,734.12,200001392.524
189,731.94,729.49,200001392.923
193,728.09,725.74,200001393.273
197,724.40,722.13,200001393.567
201,720.36,718.11,200001393.942
205,716.52,713.90,200001394.215
209,620.23,618.29,200001394.647
213,708.35,706.37,200001394.945
217,704.34,702.37,200001395.308
221,700.50,697.79,200001395.611
225,696.14,694.10,200001396.008
229,692.50,690.43,200001396.36
233,596.32,593.82,200001396.622
237,684.42,682.17,200001396.964
