gap_ms,avg_rtt_ms,avg_send_delay,mcu_clk_offset
5,2.21,0.21,666307413.825
10,2.79,0.12,666307413.961
15,2.88,-0.04,666307413.876
20,3.21,0.04,666307413.892
25,2.72,0.14,666307413.91
30,2.92,0.52,666307413.97
35,6.09,0.08,666307413.956
40,3.08,-0.25,666307413.765
45,2.42,0.02,666307413.948
50,2.94,-0.14,666307413.849
55,97.53,94.62,666307414.005
60,92.49,90.11,666307414.153
65,87.23,84.97,666307414.103
70,82.14,79.83,666307414.171
75,78.01,75.45,666307414.266
80,68.06,65.67,666307414.434
85,67.28,65.11,666307414.397
90,62.17,59.56,666307414.331
95,54.18,51.95,666307414.372
100,52.28,49.86,666307414.545
105,47.47,45.22,666307414.523
110,40.22,37.47,666307414.631
115,37.18,34.87,666307414.849
120,32.45,29.34,666307414.869
125,28.36,25.41,666307414.859
130,21.92,19.69,666307415.01
135,17.45,14.94,666307415.043
140,12.69,10.40,666307415.069
145,7.89,4.77,666307415.254
150,3.94,0.74,666307415.358
